51300088011,cae,241,158
51300088439,dfg,89,57
51300129305,eef,245,133
51300135103,dfb,116,109
51300172939,abd,16,88
51300179506,bad,299,74
51300232838,fdg,185,129
51300267268,adg,185,183
51300313768,gaf,180,181
51300321355,gca,217,284
51300325236,feg,38,188
51300386248,fgd,240,297
51300392250,dfd,230,137
51300460469,ddb,167,207
51300467520,bde,229,181
51300511373,adc,245,268
51300521418,geg,86,104
51300535826,gfa,38,215
51300544023,gbe,128,82
51300629821,fab,192,206
51300643609,cgc,205,176
51300644279,acd,276,44
51300661696,bbg,31,230
51300685264,fca,133,22
51300706301,fca,202,21
51300730469,dec,21,298
51300740873,dbc,77,110
51300751243,ebf,18,156
51300780718,cgf,185,42
51300787042,ggf,10,114
51300818469,aad,105,103
51300847992,ecd,17,148
51300882752,bbe,175,105
51300907160,gad,114,83
51300926459,deg,194,206
51300937137,cde,128,281
51300986247,abe,189,101
51301007078,gde,125,56
51301028338,cge,92,213
51301044712,fea,121,138
51301063170,gge,168,59
51301077168,cbc,251,97
51301141495,bag,45,97
51301178923,gcg,232,231
51301191968,fga,221,215
51301223740,ceg,149,266
51301235847,baf,154,195
51301237194,dbc,23,115
51301242076,ded,53,114
51301297603,ggg,184,297
51301299214,aeb,284,203
51301319811,fdb,103,93
51301392929,daf,26,78
51301417179,feb,173,228
51301472005,bcf,197,266
51301507816,aeg,293,199
51301587487,daf,120,88
51301587758,daa,31,25
51301607403,cdg,179,187
51301629942,ega,223,147
51301636176,dgg,165,59
51301675640,cag,78,271
51301679890,eea,108,128
51301681132,bcf,239,258
51301683355,fee,151,246
51301685988,bdf,119,15
51301686145,cbc,245,92
51301743274,ecd,283,119
51301769062,bfg,243,133
51301786057,edg,225,299
51301841838,ged,238,39
51301869837,gcc,173,183
51301900717,acd,187,40
51301947219,ggd,35,98
51301988958,baf,237,198
51302007387,cda,180,78
51302022826,ege,181,61
51302055529,gba,68,112
51302055962,egg,94,262
51302083579,ddd,29,114
51302087948,dba,75,11
51302090610,cbe,62,56
51302100859,fce,82,268
51302203748,bba,242,86
51302209327,bcc,181,68
51302214623,ebc,218,253
51302216128,ecc,168,32
51302219562,ead,152,29
51302223267,bgd,260,144
51302233701,cde,92,264
51302278331,aeb,111,231
51302298330,aef,222,9
51302304806,gad,151,87
51302332739,gbg,45,170
51302340433,aga,205,60
51302343735,ada,16,24
51302358721,acf,24,56
51302359980,agb,289,19
51302381658,gea,62,85
51302400135,fcg,164,192
51302404766,edc,174,165
51302440987,cfc,267,117
51302441044,aaa,53,175
51302443908,dbb,24,163
51302468790,dbg,100,29
51302489123,fda,12,168
51302512639,ddc,14,91
51302523649,bec,143,176
51302579032,ebg,16,19
51302583644,gag,75,251
51302608325,bfd,223,10
51302623396,gae,83,122
51302629495,eaa,277,30
51302631760,cdf,111,36
51302656714,gbe,217,65
51302674054,fce,120,238
51302678400,fae,100,245
51302710656,edd,24,128
51302718610,ebc,144,217
51302726077,fcc,153,291
51302759564,bae,82,58
51302784422,dae,112,21
51302819398,deg,251,228
51302923203,egf,170,288
